epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.6256,0.95312,1.96344,0.95356,0.98713,0.96346,0.97956,0.74271,0.82628,0.78056,0.91047,0.000663946,0.000663946,0.000663946
2,57.6149,0.84829,0.99768,0.90104,0.98397,0.96377,0.98095,0.77365,0.76774,0.67576,0.87043,0.00119888,0.00119888,0.00119888
3,80.0487,0.80512,0.72695,0.88631,0.98029,0.96122,0.97842,0.75826,0.75944,0.5511,0.86498,0.00160182,0.00160182,0.00160182
4,101.83,0.76739,0.5864,0.8713,0.98617,0.96426,0.98008,0.78737,0.70701,0.46716,0.84572,0.001406,0.001406,0.001406
5,124.021,0.74088,0.53261,0.85802,0.9832,0.96132,0.98452,0.8115,0.65763,0.44798,0.84385,0.001208,0.001208,0.001208
6,146.264,0.68614,0.47696,0.84673,0.98811,0.96313,0.98608,0.80512,0.68707,0.4431,0.8399,0.00101,0.00101,0.00101
7,167.718,0.65601,0.45422,0.83849,0.98798,0.96763,0.98493,0.82893,0.59824,0.4023,0.82147,0.000812,0.000812,0.000812
8,190.548,0.63635,0.42484,0.82389,0.98479,0.96971,0.98795,0.84419,0.57698,0.38155,0.81171,0.000614,0.000614,0.000614
9,213.641,0.59352,0.39666,0.81941,0.98724,0.9717,0.99206,0.86239,0.55064,0.35081,0.81075,0.000416,0.000416,0.000416
10,235.597,0.55497,0.36897,0.81325,0.98772,0.97138,0.99214,0.86916,0.52086,0.33543,0.80835,0.000218,0.000218,0.000218
