epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.00024,0,37.8308,0,0,0,0,0,0,46.3249,0,2e-05,2e-05,2e-05
2,3.50422,0,37.6105,0,0,0,0,0,0,46.4143,0,5.406e-05,5.406e-05,5.406e-05
3,5.01561,0,37.0552,0,0,0,0,0,0,46.4727,0,8.02e-05,8.02e-05,8.02e-05
4,6.61943,0,36.5122,0,0,0,0,0,0,46.4622,0,9.842e-05,9.842e-05,9.842e-05
5,8.07115,0,36.0744,0,0,0,0,0,0,46.4315,0,0.00010872,0.00010872,0.00010872
6,9.66503,0,35.7316,0,0,0,0,0,0,46.3851,0,0.0001111,0.0001111,0.0001111
7,11.2967,0,35.4577,0,0,0,0,0,0,46.3411,0,0.00010556,0.00010556,0.00010556
8,12.8082,0,34.9782,0,0,0,0,0,0,46.3207,0,9.21e-05,9.21e-05,9.21e-05
9,14.5983,0,34.6485,0,0,0,0,0,0,46.3266,0,7.072e-05,7.072e-05,7.072e-05
10,16.3448,0,34.3931,0,0,0,0,0,0,46.342,0,4.142e-05,4.142e-05,4.142e-05
